Date,Open,High,Low,Close,Adj Close,Volume
10/23/2020,10.2,10.25,10.08,10.2,10.2,2620600
10/26/2020,10.11,10.21,10.02,10.1,10.1,2814500
10/27/2020,10.06,10.15,10.06,10.08,10.08,1278200
10/28/2020,10,10.05,9.91,9.99,9.99,3894600
10/29/2020,9.98,9.995,9.938,9.98,9.98,4225900
10/30/2020,9.9,10.04,9.87,10.02,10.02,2343600
11/2/2020,9.95,9.99,9.92,9.98,9.98,832600
11/3/2020,9.97,10,9.94,9.99,9.99,680200
11/4/2020,9.97,10.11,9.97,10.06,10.06,998900
11/5/2020,10.05,10.14,10,10.08,10.08,762900
11/6/2020,10.02,10.1,9.975,10.03,10.03,1112700
11/9/2020,10.04,10.18,9.99,10.03,10.03,896800
11/10/2020,9.96,10.035,9.95,9.98,9.98,2134200
11/11/2020,9.95,9.99,9.935,9.95,9.95,1168300
11/12/2020,9.96,9.98,9.92,9.94,9.94,749100
11/13/2020,9.92,9.996,9.91,9.97,9.97,1897500
11/16/2020,10.07,10.08,9.97,9.99,9.99,833300
11/17/2020,10.04,10.05,9.97,10,10,677700
11/18/2020,10.01,10.03,9.96,9.98,9.98,757000
11/19/2020,10,10.01,9.96,9.99,9.99,925000
11/20/2020,10,10.17,9.97,10.04,10.04,3836600
11/23/2020,10.06,10.06,9.96,10.01,10.01,1918000
11/24/2020,10.02,10.03,9.98,10.01,10.01,4499600
11/25/2020,10.03,10.35,10.01,10.29,10.29,5184000
11/27/2020,10.32,10.5,10.26,10.27,10.27,3456700
11/30/2020,10.44,10.48,10.22,10.39,10.39,3171200
12/1/2020,10.41,10.41,10.22,10.26,10.26,2087300
12/2/2020,10.25,10.345,10.15,10.25,10.25,1223900
12/3/2020,10.33,10.33,10.21,10.25,10.25,1347200
12/4/2020,10.3,10.74,10.23,10.51,10.51,7121400
12/7/2020,10.74,11.04,10.56,10.94,10.94,17597000
12/8/2020,11.45,11.5,11.045,11.18,11.18,19322400
12/9/2020,11.47,11.76,10.85,11.27,11.27,14610300
12/10/2020,11.42,11.8,11.27,11.5,11.5,10395600
12/11/2020,11.52,11.67,11.07,11.36,11.36,6535800
12/14/2020,11.55,11.55,11.12,11.23,11.23,7926300
12/15/2020,11.5,11.51,11.05,11.05,11.05,7250300
12/16/2020,10.99,11.1,10.7,10.88,10.88,7232100
12/17/2020,10.84,11.03,10.56,11.02,11.02,7773400
12/18/2020,11.24,12.36,11.07,12.08,12.08,19455300
12/21/2020,12.59,13.95,12.13,13.25,13.25,19575300
12/22/2020,13.69,14.17,12.56,13.45,13.45,15044600
12/23/2020,13.9,15.14,13.61,14.02,14.02,15546500
12/24/2020,14.46,15.345,14.26,14.9,14.9,10841000
12/28/2020,16.76,17.200001,15.74,17.07,17.07,19509500
12/29/2020,16.52,16.879999,15.35,16.24,16.24,14976400
12/30/2020,15.81,16.969999,15.79,16,16,8843800
12/31/2020,16.139999,16.813999,15.52,16.77,16.77,8701300
1/4/2021,17.4,17.450001,14.16,15.61,15.61,21001700
1/5/2021,15.41,16,14.81,15.09,15.09,13198800
1/6/2021,15.39,16.469999,14.15,14.53,14.53,26843600
