Date,Open,High,Low,Close,Adj Close,Volume
8/13/2020,3182.98999,3217.52002,3155,3161.02002,3161.02002,3149000
8/14/2020,3178.179932,3178.23999,3120,3148.02002,3148.02002,2751700
8/17/2020,3173.120117,3194.969971,3154.179932,3182.409912,3182.409912,2691200
8/18/2020,3212,3320,3205.820068,3312.48999,3312.48999,5346000
8/19/2020,3303.01001,3315.899902,3256,3260.47998,3260.47998,4185100
8/20/2020,3252,3312.620117,3238,3297.370117,3297.370117,3332500
8/21/2020,3295,3314.399902,3275.389893,3284.719971,3284.719971,3575900
8/24/2020,3310.149902,3380.320068,3257.560059,3307.459961,3307.459961,4666300
8/25/2020,3294.98999,3357.399902,3267,3346.48999,3346.48999,3992800
8/26/2020,3351.110107,3451.73999,3344.570068,3441.850098,3441.850098,6508700
8/27/2020,3450.050049,3453,3378,3400,3400,4264800
8/28/2020,3423,3433.370117,3386.5,3401.800049,3401.800049,2897000
8/31/2020,3408.98999,3495,3405,3450.959961,3450.959961,4185900
9/1/2020,3489.580078,3513.870117,3467,3499.120117,3499.120117,3432200
9/2/2020,3547,3552.25,3486.689941,3531.449951,3531.449951,3931500
9/3/2020,3485,3488.409912,3303,3368,3368,8161100
9/4/2020,3318,3381.5,3111.129883,3294.620117,3294.620117,8781800
9/8/2020,3144,3250.850098,3130,3149.840088,3149.840088,6094200
9/9/2020,3202.98999,3303.179932,3185,3268.610107,3268.610107,5188700
9/10/2020,3307.219971,3349.889893,3170.550049,3175.110107,3175.110107,5330700
9/11/2020,3208.689941,3217.340088,3083.97998,3116.219971,3116.219971,5094000
9/14/2020,3172.939941,3187.389893,3096,3102.969971,3102.969971,4529600
9/15/2020,3136.159912,3175.02002,3108.919922,3156.129883,3156.129883,4021500
9/16/2020,3179.98999,3187.23999,3074.149902,3078.100098,3078.100098,4512200
9/17/2020,3009.25,3029.429932,2972.550049,3008.72998,3008.72998,6449100
9/18/2020,3031.73999,3037.800049,2905.540039,2954.909912,2954.909912,8892600
9/21/2020,2906.5,2962,2871,2960.469971,2960.469971,6117900
9/22/2020,3033.840088,3133.98999,3000.199951,3128.98999,3128.98999,6948800
9/23/2020,3120.429932,3127,2992.379883,2999.860107,2999.860107,5652700
9/24/2020,2977.790039,3069.300049,2965,3019.790039,3019.790039,5529400
9/25/2020,3054.860107,3101.540039,2999,3095.129883,3095.129883,4615200
9/28/2020,3148.850098,3175.040039,3117.169922,3174.050049,3174.050049,4224200
9/29/2020,3175.389893,3188.26001,3132.540039,3144.879883,3144.879883,3495800
9/30/2020,3141.139893,3212.879883,3133.98999,3148.72998,3148.72998,4896100
10/1/2020,3208,3224,3172,3221.26001,3221.26001,4971900
10/2/2020,3153.629883,3195.800049,3123,3125,3125,5613100
10/5/2020,3145.840088,3202.530029,3140.850098,3199.199951,3199.199951,3775300
10/6/2020,3165,3182,3090,3099.959961,3099.959961,5086900
10/7/2020,3135,3200,3132.389893,3195.689941,3195.689941,4309400
10/8/2020,3224.98999,3233.290039,3174.98999,3190.550049,3190.550049,3174100
10/9/2020,3210,3288.98999,3197.830078,3286.649902,3286.649902,4907900
10/12/2020,3349.939941,3496.23999,3339.550049,3442.929932,3442.929932,8364200
10/13/2020,3467.98999,3492.379883,3424.219971,3443.629883,3443.629883,5744700
10/14/2020,3447,3464.879883,3340,3363.709961,3363.709961,5812700
10/15/2020,3292.01001,3355.879883,3280,3338.649902,3338.649902,5223400
10/16/2020,3363.22998,3399.659912,3160,3272.709961,3272.709961,6474400
10/19/2020,3299.610107,3329,3192.73999,3207.209961,3207.209961,5223600
10/20/2020,3222.280029,3266,3192.01001,3217.01001,3217.01001,4509700
10/21/2020,3212.5,3233.879883,3160,3184.939941,3184.939941,4592700
10/22/2020,3189.870117,3198.75,3121.939941,3176.399902,3176.399902,4212000
10/23/2020,3191,3205.330078,3140,3204.399902,3204.399902,3466700
10/26/2020,3198.73999,3282.97998,3153.300049,3207.040039,3207.040039,5901200
10/27/2020,3224.939941,3291.659912,3211.300049,3286.330078,3286.330078,4291000
10/28/2020,3249.300049,3264.02002,3162.469971,3162.780029,3162.780029,5588300
10/29/2020,3201.27002,3257.25,3164,3211.01001,3211.01001,6596500
10/30/2020,3157.75,3167,3019,3036.149902,3036.149902,8386400
11/2/2020,3061.73999,3079.709961,2950.120117,3004.47998,3004.47998,7257400
11/3/2020,3018.530029,3074.899902,2980.97998,3048.409912,3048.409912,4897900
11/4/2020,3159.98999,3244.850098,3139.72998,3241.159912,3241.159912,6839000
11/5/2020,3319.969971,3366.800049,3288.879883,3322,3322,5789300
11/6/2020,3304.639893,3322,3232,3311.370117,3311.370117,4647300
11/9/2020,3231.030029,3289,3112.110107,3143.73999,3143.73999,7190400
11/10/2020,3095.02002,3114,3019.47998,3035.02002,3035.02002,6591000
11/11/2020,3061.780029,3139.149902,3050,3137.389893,3137.389893,4366900
11/12/2020,3159.949951,3175.879883,3086.050049,3110.280029,3110.280029,4362000
11/13/2020,3122,3141.719971,3085.389893,3128.810059,3128.810059,3756200
11/16/2020,3093.199951,3142.699951,3072.689941,3131.060059,3131.060059,3808700
11/17/2020,3183.540039,3189.25,3135.26001,3135.659912,3135.659912,3444700
11/18/2020,3134,3140,3105.100098,3105.459961,3105.459961,2916800
11/19/2020,3105.310059,3125,3080.919922,3117.02002,3117.02002,3010300
11/20/2020,3117.02002,3132.889893,3098.050049,3099.399902,3099.399902,3374400
11/23/2020,3116.699951,3139.75,3065.459961,3098.389893,3098.389893,4708900
11/24/2020,3100.5,3134.25,3086.26001,3118.060059,3118.060059,3602100
11/25/2020,3141.870117,3198,3140.26001,3185.070068,3185.070068,3790400
11/27/2020,3211.26001,3216.189941,3190.050049,3195.340088,3195.340088,2392900
11/30/2020,3208.47998,3228.389893,3125.550049,3168.040039,3168.040039,4063900
12/1/2020,3188.5,3248.949951,3157.179932,3220.080078,3220.080078,4537000
12/2/2020,3221.649902,3232,3173.26001,3203.530029,3203.530029,3129300
12/3/2020,3205.459961,3228.639893,3181.310059,3186.72998,3186.72998,2892000
12/4/2020,3198.209961,3198.209961,3158.76001,3162.580078,3162.580078,2913600
12/7/2020,3156.47998,3180.76001,3141.689941,3158,3158,2751300
12/8/2020,3158.899902,3184.129883,3120.02002,3177.290039,3177.290039,3286300
12/9/2020,3167.889893,3174.429932,3088,3104.199951,3104.199951,4100800
12/10/2020,3088.98999,3142.100098,3076,3101.48999,3101.48999,3030200
12/11/2020,3096.659912,3118.669922,3072.820068,3116.419922,3116.419922,3064700
12/14/2020,3143,3190.469971,3126,3156.969971,3156.969971,4155800
12/15/2020,3181.01001,3188.5,3130.48999,3165.120117,3165.120117,3319500
12/16/2020,3176.01001,3247,3163.679932,3240.959961,3240.959961,4427600
12/17/2020,3250,3263.51001,3221,3236.080078,3236.080078,3474300
12/18/2020,3243.98999,3249.419922,3171.600098,3201.649902,3201.649902,5995700
12/21/2020,3200.01001,3226.969971,3166,3206.179932,3206.179932,3836800
12/22/2020,3202.840088,3222,3180.080078,3206.52002,3206.52002,2369400
12/23/2020,3205,3210.129883,3184.169922,3185.27002,3185.27002,2093800
12/24/2020,3193.899902,3202,3169,3172.689941,3172.689941,1451900
12/28/2020,3194,3304,3172.689941,3283.959961,3283.959961,5686800
12/29/2020,3309.939941,3350.649902,3281.219971,3322,3322,4872900
12/30/2020,3341,3342.100098,3282.469971,3285.850098,3285.850098,3209300
12/31/2020,3275,3282.919922,3241.199951,3256.929932,3256.929932,2957200
1/4/2021,3270,3272,3144.02002,3186.629883,3186.629883,4411400
1/5/2021,3166.01001,3223.379883,3165.060059,3218.51001,3218.51001,2655500
1/6/2021,3146.47998,3197.51001,3131.159912,3138.379883,3138.379883,4394800
1/7/2021,3157,3208.540039,3155,3162.159912,3162.159912,3514500
1/8/2021,3180,3190.639893,3142.199951,3182.699951,3182.699951,3537700
1/11/2021,3148.01001,3156.379883,3110,3114.209961,3114.209961,3683400
1/12/2021,3120,3142.139893,3086,3120.830078,3120.830078,3514600
1/13/2021,3128.439941,3189.949951,3122.080078,3165.889893,3165.889893,3321200
1/14/2021,3167.52002,3178,3120.590088,3127.469971,3127.469971,3070900
1/15/2021,3123.02002,3142.550049,3095.169922,3104.25,3104.25,4244000
1/19/2021,3107,3145,3096,3120.76001,3120.76001,3305100
1/20/2021,3181.98999,3279.800049,3175,3263.379883,3263.379883,5309800
1/21/2021,3293,3348.550049,3289.570068,3306.98999,3306.98999,4936100
1/22/2021,3304.310059,3321.909912,3283.159912,3292.22998,3292.22998,2821900
1/25/2021,3328.5,3363.889893,3243.149902,3294,3294,3749800
1/26/2021,3296.360107,3338,3282.870117,3326.129883,3326.129883,2955200
1/27/2021,3341.48999,3346.52002,3207.080078,3232.580078,3232.580078,4660200
1/28/2021,3235.040039,3301.679932,3228.689941,3237.620117,3237.620117,3149200
1/29/2021,3230,3236.98999,3184.550049,3206.199951,3206.199951,4293600
2/1/2021,3242.360107,3350.26001,3235.030029,3342.879883,3342.879883,4160200
2/2/2021,3380,3427.73999,3361.129883,3380,3380,7098600
2/3/2021,3425.01001,3434,3308.620117,3312.530029,3312.530029,7088800
2/4/2021,3330,3347,3277.75,3331,3331,3670700
2/5/2021,3319,3377,3302.709961,3352.149902,3352.149902,3620800
2/8/2021,3358.5,3365,3304,3322.939941,3322.939941,3257400
2/9/2021,3312.48999,3338,3297.840088,3305,3305,2203500
2/10/2021,3314,3317.949951,3254,3286.580078,3286.580078,3151600
2/11/2021,3292,3292,3248.060059,3262.129883,3262.129883,2301400
2/12/2021,3250,3280.25,3233.310059,3277.709961,3277.709961,2335300
2/16/2021,3254.050049,3308.300049,3253.590088,3268.949951,3268.949951,2574700
2/17/2021,3263.600098,3320.909912,3259.5,3308.639893,3308.639893,3297500
2/18/2021,3282.419922,3338,3273.939941,3328.22998,3328.22998,3027400
2/19/2021,3328.22998,3333.5,3245.75,3249.899902,3249.899902,4305200
2/22/2021,3208.129883,3232.320068,3172.26001,3180.73999,3180.73999,3515700
2/23/2021,3127.030029,3204.72998,3093.600098,3194.5,3194.5,4677200
2/24/2021,3166.75,3171.22998,3125.379883,3159.530029,3159.530029,3011300
2/25/2021,3136.73999,3178.26001,3047.76001,3057.159912,3057.159912,4533800
2/26/2021,3095.199951,3122.439941,3036.699951,3092.929932,3092.929932,4275900
3/1/2021,3127.889893,3149.560059,3097.98999,3146.139893,3146.139893,2729100
3/2/2021,3143.469971,3163.52002,3087.120117,3094.530029,3094.530029,2595800
3/3/2021,3081.179932,3107.780029,2995,3005,3005,3988700
3/4/2021,3012,3058.129883,2945.429932,2977.570068,2977.570068,5481600
3/5/2021,3005,3009,2881,3000.459961,3000.459961,5388600
3/8/2021,3015,3064.590088,2951.310059,2951.949951,2951.949951,4185000
